company,job,location,time_posted,job_type,salary,job_description,link
Techliance (Pvt.) Ltd,Full Stack Python Developer,Techliance (Pvt.) Ltd • Lahore,8 hours ago,Full-time,,"Job description
We are looking for a full-stack Python developer experienced in Flask and Reactjs. Experience in data analytics, predictive price modeling, SQL, and other Relational databases is required.
Note: Please keep in mind that we are looking for a Python developer with React.js.
Key Responsibilities:
• Highly motivated self-starter with excellent technical and communication skills.
• Responsible for an
...
alysis, design, coding, testing & and implementation of software deliverables in a fast-paced environment.
• Developing, maintaining, testing, and implementing applications with Python along with Artificial Intelligence and Machine Learning.
• Compliance with organizational coding standards and release policies
• Ability to work independently, flexible, self-motivated, and a team player.
• Source Code Control and Management using GIT.
Requirements:
• Should have at least 3 years of Python development experience.
• Must have at least 1+ years of React.js experience.
• Must have experience with TensorFlow, Scikit-Learn, NumPy, and Pandas.
• Writing scalable code using Python programming language.
• Solid experience in Python libraries for Artificial Intelligence.
• Experience working with Statistical tools like SPSS will be a plus.
• Knowledge of at least one Python web framework (such as Django, Flask, etc).
• Knowledge of object-relational mapping (ORM)
• Integrate user-facing elements into the application.
Job Type: Full-time
Pay: Rs150,000.00 - Rs300,000.00 per month
Experience:
• React.JS: 2 years (Preferred)
• Flask: 3 years (Preferred)",https://pk.indeed.com/viewjob?jk=f60dde4fdf53bdd3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
HR WAYS,Python Developer - LAHORE,HR WAYS • Lahore,,Full-time,,"Job description
About the job Python Developer - LAHORE
About the Company we are hiring: We are looking for ﻿our AI-driven solutions software development company to go beyond the conventional, offering transformative technologies that adapt to your specific needs.
﻿Job Description: ﻿﻿
• Development using Django
• Working on Machine Learning algorithms
• Ensuring the security of APIs and code
• Writing reusable,
...
 testable, and efficient code
• Design and implementation of low-latency, high-availability, and performance applications
• Implementation of security and data protection methodologies
• Create and maintain server configurations
• Resolving bugs and performance issues
• Develop new functionality according to requirements
• Introducing / Improving the architectures of the platforms
Other Details:﻿
﻿
﻿Experience: 1-2 years
﻿Location: Lahore
﻿Work Mode & Timings: On-site ~ Mon-Fri 9:00 am - 6:00 pm
﻿
Apply at ramsha@hrways.co (not com)
About HR Ways: HR Ways is a Technical Recruitment Firm helping software houses and IT Product companies Internationally and Locally to find IT Talent. HR Ways is engaged by 150 + Employers ranging from worlds biggest SaaS Companies to most competitive Startups. Find out more at www.hrways.co",https://www.bayt.com/en/pakistan/jobs/python-developer-lahore-70898254/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Epazz,Python Developer,Epazz • Lahore,2 days ago,Full-time,,"Job description
We are looking for experienced Python/AI developers with excellent skill sets who can join our company and produce world-class applications.
• Expertise in Django Framework (Python Web), Python, Google Maps Api, Linux, HTML5, CSS, JavaScript, JSON, JQuery, .Net Framework, C#, Web Services
• Expertise in object-oriented and data structure
• Expertise in SQL Server and database design
• Investigates
...
 new technologies and techniques and researches ongoing industry developments
• Designing, coding, testing, documenting, and deploying global applications based on system and user requirements
• Expert knowledge in analyzing, designing, and developing solutions to highly complex problems
• Experience in a microservices architecture
• Knowledge of using Amazon RDS, S3, CodeCommit
• Excellent English communication skills
Responsibilities and Duties
• Software development by following requirements specifications
• Enhance existing systems by analyzing business objectives, preparing an action plan and identifying areas for modification and improvement
• Manage defect tracking system and resolve all issues and prepare updates for systems.
• Investigate and develop skills in new technologies
• Create technical specifications
Job Type: Full-time","https://pk.indeed.com/viewjob?jk=a28e442518949f1c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com.mx/job-listing/python-developer-epazz-JV_IC3206630_KO0,16_KE17,22.htm?jl=1009439539753&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.emprego.pt/en/jobs/show/30487690519885231728956188265?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Hailu Tech (SMC Pvt) Ltd.,Back End Developer / Python Developer,Hailu Tech (SMC Pvt) Ltd. • Lahore,,Full-time,Rs 150K–Rs 200K a month,"Job description
About Us:
Hailu Tech (SMC-Pvt) Limited is an innovative and rapidly growing product-based technology company at the forefront of delivering cutting-edge solutions to our clients. We are seeking a skilled and passionate Backend Developer (python) to join our dynamic team. If you have a strong background in Backend development (python) practices, a passion for automation, and a drive for continuous
...
 improvement, we want you to be part of our journey.
Job Description:
As a Python Backend Developer, you will play a crucial role in the development and maintenance of server-side applications and systems. Your primary responsibility will be to design, implement, and optimize the backend logic that powers web and mobile applications. You will work closely with cross-functional teams, including front-end developers, data engineers, and DevOps specialists, to ensure the seamless operation of web services and applications.
Key Responsibilities:
• Backend Development: Develop, maintain, and optimize server-side logic and APIs using Python. Design robust, scalable, and efficient backend systems.
• Database Management: Create and manage databases, including designing schemas, writing queries, and optimizing database performance. Familiarity with SQL and NoSQL databases is essential.
• API Integration: Integrate with third-party APIs and services to enhance the functionality of applications.
• Security: Implement security best practices to safeguard data and systems. Ensure data privacy and protection against potential vulnerabilities.
• Performance Optimization: Identify and address performance bottlenecks, including code optimization, caching, and load balancing to ensure fast and responsive applications.
• Testing and Debugging: Write unit tests and conduct thorough testing to identify and fix bugs and issues. Ensure the reliability and stability of backend services.
• Version Control: Use version control systems (e.g., Git) to manage the codebase and collaborate effectively with other team members.
• Collaboration: Work closely with front-end developers to ensure smooth integration of front-end and back-end components. Collaborate with cross-functional teams to deliver high-quality software products.
• Documentation: Maintain clear and updated documentation for code, APIs, and technical processes to facilitate teamwork and future development.
• Scalability: Plan for scalability and design systems that can handle increased load and traffic as applications grow.
• Code Review: Participate in code reviews to maintain code quality and ensure adherence to coding standards.
• Continuous Learning: Stay up-to-date with the latest industry trends and best practices in backend development and contribute to the team's knowledge base.
Requirements:
• Proficiency in Python and its frameworks (e.g., Django, Flask).
• Strong knowledge of database systems, including both SQL and NoSQL.
• Experience with API development and integration.
• Understanding of web security best practices.
• Familiarity with version control systems, especially Git.
• Problem-solving and debugging skills.
• Strong communication and teamwork skills.
• The ability to work in an Agile or Scrum development environment is a plus.
• A Python Backend Developer plays a critical role in ensuring the functionality and performance of web and mobile applications, making this role essential for the success of modern software development</",https://jobee.pk/jobdetail/back-end-developer-python-developer-2226a6ea96a204f0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Tkxel,Senior Software Engineer Python/Ben,Tkxel • Lahore,2 days ago,Full-time,,"Job description
• Develop, and maintain efficient, reusable code using Python.
• Must have worked on different frameworks like Django, Flask etc.
• Strong understanding Django components like DRF, websockets, signal etc.
• Must have worked with PostgreSQL
• Collaborate with cross-functional teams to translate specifications into functional components.
• Collaborate with frontend-developers to implement the requir
...
ed APIs with server-side logic.
• Stay updated on industry trends, new technologies, and best practices to enhance the overall development process.
Requirements
• Bachelor's degree in Computer Science, Engineering, or a related field.
• 3+ years of professional experience in Python.
• Ability to take ownership of projects and drive them to successful completion.","https://pk.linkedin.com/jobs/view/senior-software-engineer-python-ben-at-tkxel-4021248188?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.bayt.com/en/pakistan/jobs/senior-software-engineer-python-ben-71681626/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://tkxel.zohorecruit.com/jobs/Careers/524295000024517645/Senior-Software-Engineer-Python-Ben?source=Google&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Groupe Oxyane,Magasinier Vendeur en Pièces Agricoles - CDD H/F,"Chaumont, Grand Est, France",1 month ago,Contract,,"Concessionnaire exclusif CASE-IH en tracteurs, moissonneuses-batteuses et presses, et distributeur de grandes marques d'outils comme Amazone, Pöttinger, Berthoud. AGRINOVE est présente sur 7 sites autour d'un axe Lyon-Dijon-Chaumont et emploie 85 collaborateurs.Véritables passionnées, nos équipes ont à coeur de se mettre au service des agriculteurs de notre région et de contribuer à bien équiper et accompagner ceux qui nous nourrissent.Notre ambition est d'être un acteur majeur et innovant au service de ceux qui font l'agriculture et le monde de demain.Nous vous proposons de développer vos compétences dans une entreprise impliquée dans le développement des technologies innovantes (agriculture de précision, suivi à distance des machines connectées), en partenariat avec des constructeurs majeurs.Nous recherchons un vendeur magasinier F/H pour un CDD de 5 moisPlacé sous la responsabilité du Responsable Pièces, vous répondez aux demandes formulées par les clients (Agriculteurs, Entreprises de travaux agricoles, CUMA, Collectivités) et par l'atelier concernant l'ensemble des produits : pièces techniques, consommables, pièces d'usure et matériels en libre-service.Poste à pourvoir dès maintenantBasé à Chaumont avec 50% sur Langres Vous réalisez la vente de pièces au comptoir ou par téléphone. Vous établissez les devis, préparez les commandes et établissez les factures aux clients. Vous commandez les pièces et accessoires dans les meilleurs délais. Vous participez à la bonne gestion de stock du site.Vous êtes issu(e) d'une formation en mécanique agricole, TP, PL, auto ou autres fournitures industrielles, avec une expérience professionnelle sur le même type de poste, ou bien vous êtes mécanicien et on reconnait en vous des aptitudes commerciales.Vous maitrisez l'outil informatique et la gestion de stock.Motivé(e), autonome, organisé(e), rigoureux(se) et réactif(ve), votre esprit d'équipe et votre dynamisme complèteront votre profil.Dans le cadre de sa politique diversité, Agrinove étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.",https://www.linkedin.com/jobs/view/externalApply/3992188026?url=https%3A%2F%2Fr%2Eholeest%2Ecom%2Fredirect%3Fpoc%3D2%26op%3D6497081659%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F54001935%2Ehtml%253Futm_source%253Dlinkedin%2526utm_medium%253Dmetamoteurs-free%2526utm_campaign%253Dclassique%252B-%252Blinkedin%252B-%252Bvente%25252csav%2526utm_term%253D54001935%2526utm_content%253Dfluxlinkedin&urlHash=9tlW&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
Nova Location,Preparateur Materiel H/F,"Perpignan, Occitanie, France",6 days ago,Full-time,,"NOVA LOCATION, premier loueur régional, vous propose un service de location sur du matériel spécifique Travaux Publics Carrière Industrie, Travaux Publics Urbain, Environnement, Agricole et Espaces Verts.Au travers nos 16 agences Grand SUD, notre service de location s'adresse aussi bien aux particuliers qu'aux professionnels avec une large gamme de marques : Liebherr, Bell, Dynapac, Metso, Terex Finlay, John Deere, Bobcat, Stihl, Oeliatec, Amazone, Greenmech, GrilloNotre entreprise est dans une démarche inclusive au regard du handicap et à compétences égales, nous prioriserons les candidats en situation de handicap. Vous contrôlez et préparez les machines avant la remise en location. Vous vérifier l'état général, le fonctionnement du matériel de location et identifier les éventuelles anomalies. Vous réalisez la maintenance de 1er niveau. Vous nettoyez le matériel à son retour de location. Vous assurez un service de qualité auprès de la clientèle. Vous avez en charge le rangement des matériels sur le parc de location.Issu d'un CAP ou BEP ou d'une formation professionnelle, vous avez des compétences en mécanique et en électricité.Vous bénéficiez d'une 1ère expérience réussie en tant que monteur ou préparateur de matériel.Vous maîtrisez impérativement l'outil informatique",https://www.linkedin.com/jobs/view/externalApply/4017515513?url=https%3A%2F%2Fr%2Eholeest%2Ecom%2Fredirect%3Fpoc%3D2%26op%3D6496165630%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F55424879%2Ehtml%253Futm_source%253Dlinkedin%2526utm_medium%253Dmetamoteurs-free%2526utm_campaign%253Dclassique%252B-%252Bproduction%252B2%252B-%252Blinkedin%2526utm_term%253D55424879%2526utm_content%253Dfluxlinkedin&urlHash=geOL&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
Groupe Oxyane,Magasinier vendeur en pièces agricoles - CDD F/H,"Chaumont, Grand Est, France",1 month ago,Full-time,,"Description du poste et MissionsNous recherchons un vendeur magasinier F/H pour un CDD de 5 mois Placé sous la responsabilité du Responsable Pièces, vous répondez aux demandes formulées par les clients (Agriculteurs, Entreprises de travaux agricoles, CUMA, Collectivités …) et par l’atelier concernant l’ensemble des produits : pièces techniques, consommables, pièces d’usure et matériels en libre-service.Poste à pourvoir dès maintenantBasé à Chaumont avec 50% sur Langres Vous réalisez la vente de pièces au comptoir ou par téléphone.Vous établissez les devis, préparez les commandes et établissez les factures aux clients.Vous commandez les pièces et accessoires dans les meilleurs délais.Vous participez à la bonne gestion de stock du site.Profil recherchéVous êtes issu(e) d’une formation en mécanique agricole, TP, PL, auto ou autres fournitures industrielles, avec une expérience professionnelle sur le même type de poste, ou bien vous êtes mécanicien et on reconnait en vous des aptitudes commerciales.Vous maitrisez l’outil informatique et la gestion de stock.Motivé(e), autonome, organisé(e), rigoureux(se) et réactif(ve), votre esprit d’équipe et votre dynamisme complèteront votre profil.Dans le cadre de sa politique diversité, Agrinove étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.Informations utiles Localisation Chaumont - 52, France - pas de déplacement  Contrat CDD - 5 mois  Salaire Non défini  Niveau de qualification Technicien/Employé Bac +2, Employé/Opérateur/Ouvrier Spe/Bac, BEP/CAP  Expérience 1 à 7 ans  Modalités de travail Temps complet  Fonction Commercial-Vendeur en magasin, Logistique/Métiers du Transport  Secteur Agriculture/Pêche, Industrie Auto/Meca/Navale  Télétravail Pas de télétravail Qui sommes nous ?Agrinove 71260 Senozan FranceConcessionnaire exclusif CASE-IH en tracteurs, moissonneuses-batteuses et presses, et distributeur de grandes marques d'outils comme Amazone, Pöttinger, Berthoud. AGRINOVE est présente sur 7 sites autour d'un axe Lyon-Dijon-Chaumont et emploie 85 collaborateurs.Véritables passionnées, nos équipes ont à cœur de se mettre au service des agriculteurs de notre région et de contribuer à bien équiper et accompagner ceux qui nous nourrissent.Notre ambition est d’être un acteur majeur et innovant au service de ceux qui font l'agriculture et le monde de demain.Nous vous proposons de développer vos compétences dans une entreprise impliquée dans le développement des technologies innovantes (agriculture de précision, suivi à distance des machines connectées...), en partenariat avec des constructeurs majeurs.",https://www.linkedin.com/jobs/view/externalApply/3987071750?url=https%3A%2F%2Fwww%2Etalentdetection%2Ecom%2Fgroupe-oxyane%2Foffre-25392-ceNlvT&urlHash=Z2TY&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
Nova Location,Technicien H/F,"Arles, Provence-Alpes-Côte d'Azur, France",3 weeks ago,Full-time,,"NOVA LOCATION, premier loueur régional, vous propose un service de location sur du matériel spécifique Travaux Publics Carrière Industrie, Travaux Publics Urbain, Environnement, Agricole et Espaces Verts.Au travers nos 16 agences Grand SUD, notre service de location s'adresse aussi bien aux particuliers qu'aux professionnels avec une large gamme de marques : Liebherr, Bell, Dynapac, Metso, Terex Finlay, John Deere, Bobcat, Stihl, Oeliatec, Amazone, Greenmech, GrilloNotre entreprise est dans une démarche inclusive au regard du handicap et à compétences égales, nous prioriserons les candidats en situation de handicap. Vous avez en charge la préparation, la mise au point, l'entretien, la réparation et le dépannage de notre gamme de matériels TP, espace verts, Bâtiment, agricole. Vous établissez les diagnostics sur tout type de matériels en ateliers, et/ ou auprès de nos clients Vous réalisez les réparations et changements de pièces nécessaires (pannes d'origine électronique, pneumatique, mécanique) Vous définissez les besoins en pièces détachées pour effectuer les réparations des machines Vous planifiez, organisez, réalisez et assurer le suivi des interventions Vous effectuez les essais machines avant la livraison auprès de nos clients Vous assurez les réglages des nouvelles installations avant leur mise en service Vous garantissez la gestion et le suivi de votre parc d'équipements Vous gérez la réception et le contrôle des machinesIssu d'une formation technique avec un minimum Bac Pro maintenance des matériels TP (ou solide expérience en maintenance), vous bénéficiez d'au moins 1 ou 2 ans d'expérience sur un poste similaire dans la réparation de matériels roulants.Vous êtes issu du secteur BTP, agricole, automobile, de la moto ou du poids lourds.Vous détenez des compétences en hydraulique, en mécanique et en électricité.Vous disposez d'une bonne capacité d'adaptation aux évolutions technologiques du métier.Vous avez une réelle qualité d'observation, vous êtes habile de vos mains et avez de la rigueur dans vos analyses.Vous avez le sens du contact, un bon relationnel, et aimez le travail en équipe.Vous avez une bonne maîtrise de l'outil informatique et dans l'idéal, un permis EB.Une connaissance du monde du recyclage et de l'environnement est un plusVous recherchez un projet ambitieux dans un groupe moderne en très forte croissance.Alors rejoignez-nous au sein d'une équipe dynamique et motivée qui forte de son succès, a besoin aujourd'hui de se renforcer pour répondre à la demande de ses clients.",https://www.linkedin.com/jobs/view/externalApply/4003267899?url=https%3A%2F%2Fr%2Eholeest%2Ecom%2Fredirect%3Fpoc%3D2%26op%3D6496154908%26o%3D1%26from%3Dhttps%253A%252F%252Fwww%2Ehellowork%2Ecom%252Ffr-fr%252Femplois%252F52101013%2Ehtml%253Futm_source%253Dlinkedin%2526utm_medium%253Dmetamoteurs-free%2526utm_campaign%253Dclassique%252B-%252Bproduction%252B2%252B-%252Blinkedin%2526utm_term%253D52101013%2526utm_content%253Dfluxlinkedin&urlHash=DqpI&trk=public_jobs_apply-link-offsite_sign-up-modal-sign-up-later
AcclivousByte,Python Backend Developer,AcclivousByte • Lahore,1 day ago,Full-time,,"Job description
We are looking an experienced Back End Developer with a strong background in Python to join our team full-time on-site. This role involves developing and maintaining server-side logic, integration with front-end components, and delivering high-performance, scalable applications. The ideal candidate will have 3 to 5 years of experience with Python, including proficiency in frameworks like Flask, Fa
...
st API, and Django. Additionally, you should have at least 2 years of experience working with AI/ML and Large Language Models (LLMs).
Key Responsibilities:·
• Develop and maintain server-side application logic using Python.
• Integrate server-side applications with front-end developers.
• Ensure applications meet performance and scalability requirements.
• Resolve high-priority defects and production issues in a timely manner.
• Collaborate with cross-functional teams to define, design, and ship new features.
• Work on AI/ML projects and leverage LLMs to enhance application capabilities.
Qualifications:·
• Experience: 3-5 years with Python, including Flask, Fast API, and Django.
• AI/ML Expertise: 2 years of experience in AI/ML, particularly with LLMs.
• Strong understanding of web application architecture, including RESTful APIs.
• Proficiency in databases such as MySQL, PostgreSQL, and MongoDB.
• Experience with AWS services like EC2, S3, RDS, and Lambda.
• Solid knowledge of version control systems such as Git.
• Bachelor’s degree or higher in Computer Science, or a related field.
• Strong problem-solving skills, adaptability, and ability to thrive in a fast-paced environment.
• Effective communication and team collaboration skills.
• Familiarity with Agile methodologies such as Scrum or Kanban is a plus.",https://pk.linkedin.com/jobs/view/python-backend-developer-at-acclivousbyte-4020390681?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Absolute Solutions,Python Developer,Absolute Solutions • Lahore,,Full-time,,"Job description
As an Odoo Developer, you will be responsible for day-to-day tasks related to the development, customization, and implementation of Odoo ERP solutions. You will collaborate with cross-functional teams to gather requirements, design and develop modules, and perform testing and debugging. Your role will also involve providing technical guidance and support to the team, as well as ensuring the scalab
...
ility and performance of the applications.
Required Qualification & Skill Set:
• Bachelor's or Master's degree in Computer Science or a related field
• Strong knowledge and hands-on experience in Odoo development
• Proficiency in Python programming
• Expertise in Odoo framework, ORM, and web technologies (HTML, CSS, JavaScript)
• Experience with customizing Odoo modules and implementing new features
• Knowledge of relational databases (SQL, PostgreSQL) and web services (REST, SOAP)
• Experience with version control systems (Git, SVN) and Agile development methodologies
• Strong analytical and problem-solving skills
• Ability to work independently and in a team environment
• Good communication and interpersonal skills
Note: Additional certifications and experience with other ERP systems are a plus.
Job Location: DHA Phase 2, Lahore",https://jobee.pk/jobdetail/python-developer-1aa6e9570d954214?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Baron Tech (Private) Limited,Python Django Developer,Baron Tech (Private) Limited • Lahore,2 days ago,Full-time,,"Job description
Job Title: Python Django Developer
Location: Lahore, Pakistan
Position: Full-time
Job Description:
We are looking for a skilled Python Django Developer to join our team. As a Python Django Developer, you will be responsible for designing, developing, and maintaining web applications using the Django framework. You will work closely with our development team to ensure high-quality and scalable 
...
solutions.
Key Responsibilities:
• Develop and maintain web applications using Django and Python.
• Collaborate with front-end developers and other team members to integrate user-facing elements with server-side logic.
• Write reusable, testable, and efficient code.
• Participate in code reviews and contribute to team knowledge sharing.
• Troubleshoot and debug applications.
• Stay up-to-date with emerging technologies and best practices.
Requirements:
• Proven 3+ experience as a Python Django Developer.
• Strong understanding of Django framework and Python programming.
• Experience with front-end technologies (HTML, CSS, JavaScript).
• Familiarity with database management systems (e.g., PostgreSQL, MySQL).
• Knowledge of RESTful APIs and integration.
• Experience with version control systems (e.g., Git).
• Strong problem-solving skills and attention to detail.
• Excellent communication and collaboration skills.
Good Luck!
Job Type: Full-time
Pay: Rs200,000.00 - Rs350,000.00 per month","https://pk.indeed.com/viewjob?jk=1dffe2829dee2639&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-django-developer-baron-tech-private-limited-JV_IC3206630_KO0,23_KE24,50.htm?jl=1009439376848&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Enxsys,Python Developer / Django Developer,Enxsys • Lahore,,Full-time,Rs 200K–Rs 210K a month,"Job description
Enxsys is a rapidly growing software company that provides innovative software solutions to businesses across multiple industries. From strategy to design to implementation, we take care of all possible product development stages.
Job Description:
We are seeking an experienced full-stack python developer who is proficient in frameworks like django and flask. The ideal candidate will have a stron
...
g understanding of software architectures, such as MVC, MVVM, Clean architecture. He will work with Designers, Developers, Architects, and Product Managers on high-impact projects. The ides candidate must exhibit great work ethics, a growth mindset, ability to learn, and ability to tackle new challenges across the company.
Responsibilities:
• Collaborate with the product management and design teams to understand project requirements and translate them into technical specifications.
• Play a crucial role in implementing robust and efficient apis.
• Create Restful APIs and optimize ORM queries
• Develop new and maintain existing features in current applications built with Django & Flask
• Write clean, maintainable, and efficient code that adheres to industry standards.
• Conduct thorough testing and debugging of applications to identify and resolve issues.
• Developing and Deploying websites and applications
Qualifications:
• Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience).
• Solid understanding of architecture patterns, such as MVC, MVVM, or Flux.
• Excellent communication and teamwork skills to collaborate effectively with cross-functional teams.
• Ability to work in a fast-paced and deadline-driven environment.
• Strong understanding of Agile Methodology and practices (Scrum / Kanban)
• Excellent communication and understanding skills
What we offer:
• Market-leading Salary
• Flexible working hours
• Employee Performance-based bonuses
• Yearly excursion trips.
• Conveyance Allowance
• Sick Leaves / Casual Leaves",https://jobee.pk/jobdetail/python-developer-django-developer-f22febb5d05f8c66?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Staff IT Solutions PVT,Senior Back End Python Developer,Staff IT Solutions PVT • Lahore,,Full-time,Rs 250K–Rs 350K a month,"Job description
We are hiring for a Senior Back End Python Developer
Backend Python developers
• Experience with Chat GPT 4 and writing good prompts
• Experience with creating APIs using Swagger (OpenAPI specifications). Knowledge of using Swagger for API documentation preferred.
• Experience using OpenAPI/Swagger or FastAPI code generation tools
• FastAPI and GraphQL experience
• Code review experience reviewin
...
g code created by other developers
• Junior developers - Minimum of 2 years of Python experience for sharp developers and 4 years for above average developers.
• Minimum of 4 years of backend micro services architecture experience (backend language is not important)
• Senior developers - Minimum of 6 years of Python experience.
• Additional experience highly preferred
• Configuring and using Apache Kafka
• Configuring Kubernetes and Docker containers. Knowledge of Docker Compose.
• AWS platform
• Postman
• Graph database e.g. OrientDB, Neo4J, Arango, Titan
• Text search e.g. TypeSense, Algolia, ElasticSearch
• Columnar storage database for storing and managing large amounts of messaging data e.g. Apache Scylla, Cassandra
• Real-time sockets based messaging Pub-Sub e.g. Centrifugo, Pusher, Firebase Cloud Messaging
• Ledger database - AWS Quantum QLDB
• We will also need an AI developer to configure chatbots, labeling our data, set up fine tuning of the LLM using our data
For ChatGPT, they have to describe:
• Did they use Chat GPT 4 or ?
• Did they use it everyday or only sometimes?
• Give one example of the most difficult problem they solved using GPT generated code
• Rate how proficient they are at writing prompts that get the precise answer they need
Development strategy
• Designers will prepare Figma designs that are Locofy.ai ready for code generation.
• Frontend developers will generate SSR working code from Locofy.ai that works with GraphQL from the schema provided.
• Backend developers will use ChatGPT to generate Swagger APIs from the requirements documents and Figma designs
• Use the Swagger APIs to generate correct and error-free FastAPI code automatically
• Use their knowledge of microservices architecture to design the Swagger APIs
• Specify the exact generated database queries for OrientDB and the precise GraphQL from the GraphQL schema
• Backend developers will create small projects using ChatGPT to generate the code.
• One backend developer with AI experience to do the AI related tasks.","https://jobee.pk/jobdetail/senior-back-end-python-developer-2899ef4c937026a3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://pk.expertini.com/jobs/job/senior-python-developer-lahore-the-recourses-1398-38746/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
One Hub Solution,Python Developer / AI Developer,One Hub Solution • Lahore,,Full-time,Rs 80K–Rs 100K a month,"Job description
We are looking for a Python Developer / AI Developer
• Who knows how to make smart bots for efficiency.
• Interested candidates should apply with their updated profile.",https://jobee.pk/jobdetail/python-developer-ai-developer-8e1d62e943e19125?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Azsol,Python Developer / Django Developer,Azsol • Lahore,,Full-time,Rs 120K–Rs 165K a month,"Job description
Azsol, a leading technology company, is seeking two talented and experienced Python (Django) Developers to join our team. As a Python Developer at Azsol, you will be responsible for developing and maintaining robust and scalable web applications using the Django framework.
Responsibilities:
• Collaborate with the team to gather and analyze requirements for web applications.
• Design, develop, and
...
 implement high-quality, efficient back-end solutions using Python and Django.
• Write clean, readable, and reusable code following coding standards and best practices.
• Ensure the proper integration of front-end components with back-end logic.
• Conduct thorough testing and debugging of applications to ensure optimal performance.
• Collaborate with team members to continuously improve development processes and practices.
• Stay updated with the latest industry trends and technologies related to Python and Django.
Requirements:
• Years of professional experience in Python development, focusing on the Django framework.
• Strong proficiency in Python, Django, and related libraries.
• Solid understanding of web development concepts, including RESTful APIs and database management.
• Familiarity with front-end technologies, such as HTML5, CSS3, and JavaScript.
• Experience with version control systems, such as Git.
• Strong problem-solving and analytical skills.
• Ability to work effectively both independently and as part of a collaborative team.
• Excellent communication and interpersonal skills.
Additional Information:
• This is a full-time position.
• Immediate joining is preferred",https://jobee.pk/jobdetail/python-developer-django-developer-531310fa23baf863?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
CODELOUNGE,Full Stack Python Django Developer,CODELOUNGE • Lahore,,Full-time,Rs 200K–Rs 250K a month,"Job description
We are looking for a Full Stack Python Django Developer
• It’s a full-time position.
• Should have 3 years of hands-on experience
• Location: Wapda Town Lahore.
• Interested candidates should apply with their updated profile.",https://jobee.pk/jobdetail/full-stack-python-django-developer-78472eaabb0f7e32?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
